Customer ID,Sum of Sales,Sum of Quantity
12828,฿1018.71,494
12829,฿345.35,549
12830,฿6748.4,9847
12831,฿451.11,303
12832,฿383.03,195
12833,฿417.38,156
12834,฿312.38,110
12835,฿6018.67,2343
12836,฿6546.47,2232
12837,฿688.41,209
12838,฿3376.03,1838
12839,฿9927.83,6754
12840,฿4013.87,2244
12841,฿7390.48,5339
12842,฿1917.99,887
12843,฿6345.61,2900
12844,฿648.6,223
12845,฿354.09,204
12846,฿15.58,1
12847,฿1636.9,1533
12848,฿208,58
12849,฿3090.56,1882
12850,฿330,200
12851,฿284.13,160
12852,฿299.75,145
12853,฿3728.5,1639
12854,฿2922.37,1614
12855,฿650.94,270
12856,฿2162.68,1076
12857,฿3684.25,1419
12858,฿151.73,62
12859,฿575.1,292
12860,฿55.47,27
12861,฿68.25,27
12862,฿1008.32,613
12863,฿2775.55,893
12864,฿299.57,447
12865,฿3303.31,1925
12866,฿1227.35,553
12867,฿7862.69,7915
12868,฿2247.06,1282
12869,฿337.67,144
12870,฿1647.15,902
12871,฿744.02,484
12872,฿3678.34,1852
12873,฿2027.3,786
12874,฿933.42,611
12875,฿1356.99,5187
12876,฿4068.59,3039
12877,฿2955.17,2262
12878,฿841.64,536
12879,฿552.57,363
12880,฿640.13,279
12881,฿298,21
12882,฿1463.04,246
12883,฿703.47,196
12884,฿309.05,43
12885,฿1158.27,654
12886,฿1351.09,761
12887,฿222.4,100
12888,฿313.77,68
12889,฿365.66,120
12890,฿717.27,466
12891,฿819.5,2275
12892,฿263.38,140
12893,฿188.14,96
12894,฿157.35,33
12895,฿347.3,204
12896,-฿29.75,-5
12897,฿514.25,249
12898,฿310.96,240
12899,฿366.4,108
12900,฿340.33,139
12901,฿16293.1,20915
12902,฿138.68,66
12903,฿833.53,493
12904,฿509.58,302
12905,฿1011.82,528
12906,฿2919.81,1749
12907,฿440.36,164
12908,฿1272,1800
12909,฿3034.77,1932
12910,฿5747.02,3602
12911,฿1680.47,820
12912,฿1662.3,670
12913,฿6700.86,3232
12914,฿223.98,336
12915,฿1084.85,434
12916,฿4630.22,1766
12917,฿4329.5,1098
12918,-฿10953.5,-1
12919,฿1301.44,668
12920,฿488.09,421
12921,฿34639.45,21273
12922,฿405.38,370
12923,฿789.87,237
12924,฿2423.15,1412
12925,฿729.33,649
12926,฿1548.46,766
12927,฿197.31,145
12928,฿4304.89,2899
12929,฿105.1,36
12930,฿409.9,250
12931,฿71299.67,48345
12932,฿1698.56,1609
12933,฿1627.28,904
12934,฿181.65,31
12935,฿4182.01,3170
12936,฿1012.9,539
12937,฿3097.61,1983
12938,฿114.14,140
12939,฿25264.8,10328
12940,฿876.29,406
12941,฿377.49,381
12942,฿942.65,272
12943,฿489,220
12944,฿604.51,289
12945,฿900.11,446
12946,฿324.45,149
12947,฿1711.33,1341
12948,฿2306.18,1301
12949,฿15391,8197
12950,฿1843,1380
12951,฿3164.42,1650
12952,฿1382.84,652
12953,฿828.81,364
12954,฿162.45,83
12955,฿4734.26,3642
12956,฿521.89,340
12957,฿8628.42,4661
12958,฿539.49,131
12959,฿133.35,108
12960,฿1322.07,1379
12961,฿211.99,180
12962,฿266.39,129
12963,฿3512.79,1777
12964,฿132.24,56
12965,฿771.91,283
12966,฿160.18,75
12967,฿3840.77,1077
12968,฿135.95,73
12969,฿122.45,55
12970,฿1524.97,1014
12971,฿15482.74,13061
12972,฿1115.95,829
12973,฿385.55,31
12974,฿408.95,104
12975,฿1993.99,903
12976,฿3156.38,2684
12977,฿517.63,131
12978,฿2496.07,1393
12979,฿479.54,484
12980,฿15909.39,1883
12981,฿372.22,242
12982,฿2562.12,1665
12983,฿490.08,638
12984,฿97.5,26
12985,฿1215.62,1413
12986,฿1991.59,881
12987,฿1298.51,583
12988,฿535.32,136
12989,฿12846.8,6764
12990,฿955.5,480
12991,฿764.82,483
12992,฿93.35,21
12993,฿1191.26,648
12994,฿902.22,440
12995,฿200.72,98
12996,฿355.5,122
12997,฿2065.11,1163
12998,฿897.38,1102
12999,฿455.88,342
13000,฿965,538
13001,฿24136.05,13518
13002,฿414.13,201
13003,฿149.05,103
13004,฿11143.99,8442
13005,฿935.03,455
13006,฿81.57,55
13007,฿175.25,59
13008,฿543.28,312
13009,฿234,120
13010,฿330.12,323
13011,฿101.1,26
13012,฿2591.18,1393
13013,฿12601.82,6456
13014,฿5220.83,1950
13015,฿6465.72,3463
13016,฿789.89,527
13017,฿204,48
13018,฿9742.81,6741
13019,฿1212.95,395
13020,฿606.96,271
13021,฿4786.38,2508
13022,฿65.3,35
13023,฿1449.03,585
13024,฿535.42,174
13025,฿323.39,241
13026,฿1690.12,2431
13027,฿17148,42837
13028,฿659.68,796
13029,฿1927.3,194
13030,฿1227.22,598
13031,฿3419.27,2399
13032,฿2817.59,1269
13033,฿220.55,98
13034,฿922.68,522
13035,฿1328.95,909
13036,฿307.1,38
13037,฿3842.55,2105
13038,฿908.46,360
13039,฿1010.73,290
13040,฿676.99,355
13041,฿799.13,335
13042,฿1522.79,825
13043,฿471.57,251
13044,฿4824.2,2551
13045,฿808.92,405
13046,฿949.25,505
13047,฿8466.72,3376
13048,฿4035.16,2692
13049,฿1384.14,606
13050,฿11822.44,7128
13051,฿155.8,72
13052,฿3168.53,1454
13053,฿127.65,47
13054,-฿14,-1
13055,฿2292.51,1805
13056,฿209.48,158
13057,฿540.74,453
13058,฿271.4,52
13059,฿2272.62,859
13060,฿307.53,123
13061,฿248.61,107
13062,฿346.98,343
13063,฿188.4,116
13064,฿1680.74,670
13065,฿1255.96,454
13066,฿430.9,320
13067,฿508.51,131
13068,฿344,200
13069,฿8747.47,14696
13070,฿743.9,368
13071,฿129.22,30
13072,฿177.15,69
13073,฿418.08,261
13074,฿1362.84,824
13075,฿919.61,485
13076,฿135.4,44
13077,฿3040.17,2724
13078,฿28883.83,12023
13079,฿419.18,158
13080,฿260.83,191
13081,฿58328.15,41152
13082,฿7268.92,8413
13083,฿395.43,307
13084,฿116.45,137
13085,฿1459.46,835
13086,฿439.33,155
13087,฿313.64,86
13088,฿236.11,76
13089,฿113214.19,59243
13090,฿13771.28,3363
13091,-฿130.22,-1085
13092,฿2007.33,601
13093,฿54073.73,26055
13094,฿2214.66,1914
13095,฿74.4,144
13096,฿419.7,6
13097,฿12861.73,5350
13098,฿28658.88,15911
13099,฿207.36,288
13100,-฿1598.67,-1
13101,฿695.4,478
13102,฿11440.12,6510
13103,฿709.64,426
13104,฿1709.1,834
13105,฿72,100
13106,฿586.46,227
13107,฿5109.62,4255
13108,฿1098.52,1043
13109,฿1107.58,750
13110,฿2896.17,757
13111,฿321.88,180
13112,-฿5.44,-1
13113,฿16600.25,4047
13114,฿234.38,74
13115,฿5374.45,3893
13116,฿485.19,290
13117,฿2642.11,2065
13118,฿2334.1,811
13119,฿134.9,110
13120,฿30.6,12
13121,฿254.73,227
13122,฿922.39,585
13123,฿506.75,268
13124,฿4782.45,2783
13125,฿158.57,54
13126,฿3902.47,3381
13127,฿259.17,127
13128,฿263.5,31
13129,฿233.25,296
13130,฿64,32
13131,฿3279.77,1519
13132,฿77.3,20
13133,฿200.45,55
13134,฿2422.28,1349
13135,฿3371.45,4423
13136,฿6077.8,3038
13137,฿7667.37,4293
13138,฿1454.49,717
13139,฿8193.83,4607
13140,฿1215.68,648
13141,฿7536.63,5134
13142,฿307.09,258
13143,฿399.2,196
13144,฿135.35,29
13145,฿1419.77,263
13146,฿228.91,154
13147,฿712.8,144
13148,฿8123.6,4390
13149,฿1676.06,1280
13150,฿435.02,170
13151,฿2511.69,825
13152,฿2114.98,969
13153,฿486.22,418
13154,฿997.43,972
13155,฿1750.18,909
13156,฿1586.54,914
13157,฿5667.71,4753
13158,฿1508.18,992
13159,฿1379.75,1045
13160,฿91.8,56
13161,฿478.88,106
13162,฿9116.94,5668
13163,฿0,0
13164,฿297.46,114
13165,฿1451.16,1736
13166,฿881.68,525
13167,฿1125.15,1007
13168,฿1866.26,910
13169,฿840.08,296
13170,฿116.01,147
13171,฿426.81,227
13172,฿69.6,48
13173,฿2620.5,1617
13174,฿9494.84,4541
13175,฿793.1,392
13176,฿492.84,453
13177,฿512.2,180
13178,฿13997.89,8749
13179,฿572.31,368
13180,฿86.1,42
13181,฿359.69,171
13182,฿121.18,201
13183,฿7010.88,4001
13184,฿1648.79,1662
13185,฿71.4,12
13186,฿1539.69,804
13187,฿348.31,353
13188,฿114.6,25
13189,฿260.68,842
13190,฿518.76,306
13191,฿164.69,115
13192,฿2544.53,1618
13193,฿117.88,50
13194,฿472.78,326
13195,฿172.38,83
13196,฿3059.64,2004
13197,฿373.01,204
13198,฿4912.28,3438
13199,฿16404.98,12010
13200,฿870.09,516
13201,฿1240.61,1039
13202,฿1571.35,571
13203,฿2630.55,2407
13204,฿966.66,428
13205,฿2803.2,256
13206,฿8280.13,6878
13207,฿535.86,178
13208,฿1970.5,1327
13209,฿8438.06,5760
13210,฿353.48,316
13211,฿2706.87,1885
13212,฿780.58,309
13213,฿3834.62,2952
13214,฿3264.23,2966
13215,฿81.6,96
13216,฿333.74,297
13217,฿266.12,364
13218,฿62.64,88
13219,฿76.23,11
13220,฿1336.09,396
13221,฿847.41,244
13222,฿88.5,30
13223,฿969.12,568
13224,฿2150.85,1512
13225,฿15879.27,7337
13226,฿312.46,179
13227,฿257.7,99
13228,฿358,200
13229,฿160.95,63
13230,฿6317.22,3514
13231,-฿355.2,-1
13232,฿1357.6,778
13233,฿1176.46,1604
13234,฿356.95,162
13235,฿101.17,440
13236,฿727.27,411
13237,฿643,128
13238,฿986.73,440
13239,฿1579.84,1184
13240,฿1661.17,846
13241,฿115.58,48
13242,฿699.4,350
13243,฿1278.04,579
13244,฿121.74,38
13245,฿989.22,371
13246,฿3277.68,2744
13247,฿501.12,328
13248,฿465.68,305
13249,฿1608.93,1246
13250,฿248.54,106
13251,฿252.68,215
13252,฿341.3,128
13253,฿2951.11,3015
13254,฿51.41,43
13255,฿895.61,514
13256,฿0,12540
13257,฿117.95,29
13258,฿1035.18,451
13259,฿1433.38,517
13260,฿557.62,142
13261,฿944.1,210
13262,฿573.45,247
13263,฿8704.69,5390
13264,฿722.56,375
13265,฿2107.66,1752
13266,฿5965.3,6669
13267,฿9512.21,4035
13268,฿3167.64,3635
13269,฿8861.39,6559
13270,฿1180,400
13271,฿178.26,181
13272,฿276.56,96
13273,฿138.98,153
13274,฿360.85,199
13275,฿241.66,140
13276,฿1918.56,853
13277,฿523.3,382
13278,฿1428.2,1355
13279,฿126.3,70
13280,฿2297.13,1493
13281,฿306.45,175
13282,฿1228.89,392
13283,฿373.36,204
13284,฿196.15,79
13285,฿3364.59,2457
13286,฿734.91,274
13287,฿519.67,237
13288,฿892.16,376
13289,฿307.95,119
13290,-฿208.63,-1
13291,฿3320.84,1619
13292,฿987.79,514
13293,฿1180.34,549
13294,฿1689.53,996
13295,฿1058.02,698
13296,฿792.51,653
13297,฿4352.67,2693
13298,฿360,96
13299,฿1173.3,408
13300,฿1267.21,447
13301,฿618.09,345
13302,฿159.2,12
13303,฿61.72,26
13304,฿1120.79,688
13305,฿3754.71,2361
13306,฿53.65,74
13307,฿273.34,140
13308,฿1652.47,1070
13309,฿1706.37,1914
13310,฿1492.8,804
13311,฿598.57,305
13312,฿124.75,41
13313,฿3423.27,2299
13314,฿578.66,484
13315,฿310.26,232
13316,฿12906.93,21323
13317,฿6068.531,3052
13318,฿640.76,304
13319,฿21706.09,9193
13320,฿2160.95,1482
13321,฿567.36,372
13322,฿199.48,117
13323,฿787.85,175
13324,฿10421.37,8430
13325,฿675.3,240
13326,฿281.76,140
13327,฿9741.03,4448
13328,฿1308.48,680
13329,฿4977.02,3441
13330,฿2806.18,1975
13331,฿262.4,54
13332,฿350.9,179
13333,฿1015.74,685
13334,฿6257,3226
13335,-฿955.06,-1
13336,฿795.12,559
13337,฿1548.55,955
13338,฿2223.62,1126
13339,฿860.12,326
13340,฿22100.56,9636
13341,฿775.85,301
13342,-฿14.1,-4
13343,฿303.93,126
13344,฿2543.72,971
13345,฿377.6,139
13346,฿299.4,180
13347,฿341.36,205
13348,฿233.76,136
13349,฿247.32,225
13350,฿910.72,284
13351,฿373.94,117
13352,฿389.28,315
13353,-฿28.85,-3
13354,฿743.53,604
13355,฿674.7,314
13356,฿768.24,325
13357,฿3838.36,2142
13358,฿439.03,285
13359,฿1001.96,374
13360,฿1464.1,932
13361,฿1450.5,324
13362,฿5357.57,2469
13363,฿1723.86,1146
13364,฿0,0
13365,฿2164.32,1236
13366,฿56.16,144
13367,฿510.2,253
13368,฿1086.1,594
13369,฿572.03,276
13370,฿1442.64,672
13371,฿2271.46,1016
13372,฿378.64,159
13373,฿7587.19,4263
13374,฿422.8,135
13375,฿1786.48,1123
13376,฿1019.76,493
13377,฿1495.43,744
13378,-฿756.4,-1
13379,฿572.56,601
13380,฿62.4,48
13381,฿8185.02,5108
13382,฿1387.58,863
13383,฿305.28,288
13384,฿6635.09,4130
13385,฿534.57,281
13386,฿835.46,514
13387,฿189.44,125
13388,฿1135.7,700
13389,฿797.96,429
13390,฿544.08,224
13391,฿59.8,4
13392,฿91.14,82
13393,฿1105.85,658
13394,฿6323.88,5157
13395,฿1180.23,1660
13396,฿1325.29,592
13397,฿3094.11,1327
13398,฿670.34,341
13399,฿275.4,120
13400,฿300.93,282
13401,-฿1834.14,-1
13402,฿1535.13,1107
13403,฿229.5,114
13404,฿252.49,111
13405,฿1196.561,848
13406,฿557.22,286
13407,฿2111.89,1623
13408,฿50852.852,29337
13409,-฿525.65,-1
13410,฿2172.51,1233
13411,฿213.55,72
13412,฿487.35,176
13413,฿345.8,382
13414,฿2482.24,2700
13415,฿681.92,410
13416,฿940.8,208
13417,฿1593.89,508
13418,฿11916.16,7523
13419,฿221.06,275
13420,฿140.35,88
13421,฿4088.82,2417
13422,฿2601.55,1321
13423,฿217.03,141
13424,฿557.92,526
13425,฿3375.93,2376
13426,฿8076.76,4847
13427,฿1006.53,880
13428,฿499.98,366
13429,฿1006.8,1390
13430,฿648.69,738
13431,฿3289.24,1566
13432,฿439.1,217
13433,฿656.87,189
13434,฿1666.86,864
13435,฿4459.83,2787
13436,฿196.89,76
13437,฿3408.06,1283
13438,฿46.5,10
13439,฿986.61,952
13440,฿1213.95,551
13441,฿720.9,520
13442,฿419.87,115
13443,฿1247.71,798
13444,฿631.68,337
13445,฿241.9,198
13446,฿3608.86,2337
13447,฿1104.23,577
13448,฿8447.75,4380
13449,฿291.88,222
13450,฿4117.54,4316
13451,฿7119.97,5259
13452,฿729.8,6
13453,฿758.99,339
13454,฿219.87,198
13455,฿2773.82,957
13456,฿1737.82,756
13457,฿143.27,93
13458,฿11850.62,6712
13459,฿1160.41,986
13460,฿183.44,286
13461,฿4138.5,3128
13462,฿1145.6,696
13463,-฿158.65,-1
13464,฿3083.89,1429
13465,฿931.12,584
13466,฿952.25,648
13467,฿1083.71,584
13468,฿13091.61,5764
13469,฿82.4,52
13470,฿165,100
13471,฿2531.58,1590
13472,฿592.24,310
13473,฿2410.98,956
13474,฿663.79,334
13475,฿1431.78,1012
13476,฿1915.77,710
13477,฿2821.12,2092
13478,฿2068.03,1168
13479,฿808.5,708
13480,฿627.82,362
13481,฿3798.84,2039
13482,฿336.09,187
13483,฿140.34,160
13484,฿767.32,212
13485,฿2957.92,1788
13486,฿1122.41,669
13487,฿846.87,362
13488,฿15513.73,7874
13489,฿449.52,560
13490,฿154.25,25
13491,฿4566.56,2385
13492,฿1269.84,408
13493,฿618.63,380
13494,฿316.26,162
13495,฿5246.61,2637
13496,฿617.93,329
13497,฿1266.33,571
13498,฿327.38,362
13499,฿1146.96,1358
13500,฿1436.3,814
13501,฿2840.26,1238
13502,฿774.6,488
13503,฿1793.54,1095
13504,฿295.93,178
13505,฿4282.88,2461
13506,฿1609.65,1168
13507,฿2479.16,1597
13508,฿287.05,180
13509,฿1114.72,1214
13510,฿4488.39,3022
13511,฿244.61,53
13512,฿713.39,419
13513,฿796.99,352
13514,฿815.9,288
13515,฿1265.82,819
13516,฿1685.26,1114
13517,฿2109.07,1360
13518,฿659.44,392
13519,฿331.26,132
13520,฿6680.65,3225
13521,฿1093.65,736
13522,฿125.8,44
13523,฿4892.02,2347
13524,฿680.18,324
13525,฿628.78,394
13526,฿942.6,1647
13527,฿4650.04,2742
13528,-฿40,-16
13529,฿307.76,74
